id,from_currency_code,to_currency_code,exchange_rate,effective_date,is_active
1,UGX,UGX,1.0000,2026-04-12,TRUE
2,KES,UGX,26.5000,2026-04-12,TRUE
3,TZS,UGX,1.5500,2026-04-12,TRUE
4,RWF,UGX,2.8500,2026-04-12,TRUE
5,BIF,UGX,0.1900,2026-04-12,TRUE
6,SSP,UGX,0.8500,2026-04-12,TRUE
7,SOS,UGX,0.6200,2026-04-12,TRUE
8,ETB,UGX,6.5000,2026-04-12,TRUE
9,DJF,UGX,2.0500,2026-04-12,TRUE
10,EGP,UGX,7.5000,2026-04-12,TRUE
11,SDG,UGX,0.6800,2026-04-12,TRUE
12,LYD,UGX,75.0000,2026-04-12,TRUE
13,TND,UGX,118.0000,2026-04-12,TRUE
14,DZD,UGX,2.7000,2026-04-12,TRUE
15,MAD,UGX,36.5000,2026-04-12,TRUE
16,NGN,UGX,0.2400,2026-04-12,TRUE
17,GHS,UGX,29.5000,2026-04-12,TRUE
18,GMD,UGX,6.8000,2026-04-12,TRUE
19,SLL,UGX,0.0185,2026-04-12,TRUE
20,LRD,UGX,2.0500,2026-04-12,TRUE
21,GNF,UGX,0.0420,2026-04-12,TRUE
22,CIV,UGX,0.6200,2026-04-12,TRUE
23,BFA,UGX,0.6200,2026-04-12,TRUE
24,TGO,UGX,0.6200,2026-04-12,TRUE
25,BEN,UGX,0.6200,2026-04-12,TRUE
26,NER,UGX,0.6200,2026-04-12,TRUE
27,MLI,UGX,0.6200,2026-04-12,TRUE
28,SEN,UGX,0.6200,2026-04-12,TRUE
29,MRT,UGX,10.2000,2026-04-12,TRUE
30,CPV,UGX,3.5000,2026-04-12,TRUE
31,CMR,UGX,0.6200,2026-04-12,TRUE
32,TCD,UGX,0.6200,2026-04-12,TRUE
33,CAF,UGX,0.6200,2026-04-12,TRUE
34,GAB,UGX,0.6200,2026-04-12,TRUE
35,GNQ,UGX,0.6200,2026-04-12,TRUE
36,COG,UGX,0.6200,2026-04-12,TRUE
37,COD,UGX,0.1800,2026-04-12,TRUE
38,AGO,UGX,0.4500,2026-04-12,TRUE
39,STP,UGX,0.0165,2026-04-12,TRUE
40,ZMB,UGX,14.0000,2026-04-12,TRUE
41,ZWE,UGX,1.0500,2026-04-12,TRUE
42,MWI,UGX,0.2200,2026-04-12,TRUE
43,MOZ,UGX,0.5700,2026-04-12,TRUE
44,ZAR,UGX,19.5000,2026-04-12,TRUE
45,NAD,UGX,19.5000,2026-04-12,TRUE
46,BWP,UGX,27.0000,2026-04-12,TRUE
47,LSL,UGX,19.5000,2026-04-12,TRUE
48,SZL,UGX,19.5000,2026-04-12,TRUE
49,MGA,UGX,0.0830,2026-04-12,TRUE
50,MUR,UGX,8.2000,2026-04-12,TRUE
51,SCR,UGX,26.5000,2026-04-12,TRUE
52,KMF,UGX,0.8200,2026-04-12,TRUE
53,ERI,UGX,24.0000,2026-04-12,TRUE
54,UGX,KES,0.0377,2026-04-12,TRUE
55,UGX,TZS,0.6452,2026-04-12,TRUE
56,UGX,RWF,0.3509,2026-04-12,TRUE
57,UGX,BIF,5.2632,2026-04-12,TRUE
58,UGX,SSP,1.1765,2026-04-12,TRUE
59,UGX,SOS,1.6129,2026-04-12,TRUE
60,UGX,ETB,0.1538,2026-04-12,TRUE
61,UGX,DJF,0.4878,2026-04-12,TRUE
62,UGX,EGP,0.1333,2026-04-12,TRUE
63,UGX,SDG,1.4706,2026-04-12,TRUE
64,UGX,LYD,0.0133,2026-04-12,TRUE
65,UGX,TND,0.0085,2026-04-12,TRUE
66,UGX,DZD,0.3704,2026-04-12,TRUE
67,UGX,MAD,0.0274,2026-04-12,TRUE
68,UGX,NGN,4.1667,2026-04-12,TRUE
69,UGX,GHS,0.0339,2026-04-12,TRUE
70,UGX,GMD,0.1471,2026-04-12,TRUE
71,UGX,ZAR,0.0513,2026-04-12,TRUE
72,AP,UGX,100.0000,2026-04-12,TRUE
73,UGX,AP,0.0100,2026-04-12,TRUE
74,LH,UGX,10000.0000,2026-04-12,TRUE
75,UGX,LH,0.0001,2026-04-12,TRUE
76,BC,UGX,1000.0000,2026-04-12,TRUE
77,UGX,BC,0.0010,2026-04-12,TRUE
78,USD,UGX,3650.0000,2026-04-12,TRUE
79,UGX,USD,0.000274,2026-04-12,TRUE
80,EUR,UGX,4200.0000,2026-04-12,TRUE
81,UGX,EUR,0.000238,2026-04-12,TRUE
82,GBP,UGX,4850.0000,2026-04-12,TRUE
83,UGX,GBP,0.000206,2026-04-12,TRUE
