id,category_name,parent_id,category_level,description,common_uses,typical_side_effects,created_at
1,Antidiabetic Medications,,1,Medications for managing diabetes mellitus,Medications for managing diabetes mellitus,,2026-01-01 00:00:00
2,Antihypertensive Medications,,1,Medications for managing high blood pressure,Medications for managing high blood pressure,,2026-01-01 00:00:00
3,Lipid-Lowering Agents,,1,Medications for managing cholesterol and triglycerides,Medications for managing cholesterol and triglycerides,,2026-01-01 00:00:00
4,Anticoagulants and Antiplatelets,,1,Blood thinners and clot prevention medications,Blood thinners and clot prevention medications,,2026-01-01 00:00:00
5,Antibiotics,,1,Medications for treating bacterial infections,Medications for treating bacterial infections,,2026-01-01 00:00:00
6,Antimalarials,,1,Medications for preventing and treating malaria,Medications for preventing and treating malaria,,2026-01-01 00:00:00
7,Analgesics,,1,Pain relief medications,Pain relief medications,,2026-01-01 00:00:00
8,Gastrointestinal Medications,,1,Medications for digestive system disorders,Medications for digestive system disorders,,2026-01-01 00:00:00
9,CKD Medications,,1,Medications for chronic kidney disease management,Medications for chronic kidney disease management,,2026-01-01 00:00:00
10,Supplements and Vitamins,,1,Nutritional supplements and vitamin preparations,Nutritional supplements and vitamin preparations,,2026-01-01 00:00:00
11,Respiratory Medications,,1,Medications for asthma and respiratory conditions,Medications for asthma and respiratory conditions,,2026-01-01 00:00:00
12,Thyroid Medications,,1,Medications for thyroid disorders,Medications for thyroid disorders,,2026-01-01 00:00:00
13,Antiretrovirals,,1,HIV treatment medications (HAART),HIV treatment medications (HAART),,2026-01-01 00:00:00
14,Antifungals,,1,Medications for fungal infections,Medications for fungal infections,,2026-01-01 00:00:00
15,Anthelmintics,,1,Deworming medications for parasitic infections,Deworming medications for parasitic infections,,2026-01-01 00:00:00
16,Antihistamines,,1,Allergy medications,Allergy medications,,2026-01-01 00:00:00
17,Antiemetics,,1,Anti-nausea and vomiting medications,Anti-nausea and vomiting medications,,2026-01-01 00:00:00
18,Laxatives,,1,Constipation relief medications,Constipation relief medications,,2026-01-01 00:00:00
19,Antidiarrheals,,1,Diarrhea treatment medications,Diarrhea treatment medications,,2026-01-01 00:00:00
20,Psychiatric Medications,,1,Medications for mental health conditions,Medications for mental health conditions,,2026-01-01 00:00:00
21,Antidepressants,,1,Medications for depression and anxiety disorders,Medications for depression and anxiety disorders,,2026-01-01 00:00:00
22,Biguanides,1,2,Diabetes medications that reduce glucose production,Diabetes medications that reduce glucose production,,2026-01-01 00:00:00
23,Sulfonylureas,1,2,Diabetes medications that stimulate insulin secretion,Diabetes medications that stimulate insulin secretion,,2026-01-01 00:00:00
24,Insulins,1,2,Injectable insulin preparations,Injectable insulin preparations,,2026-01-01 00:00:00
25,Calcium Channel Blockers,2,2,Blood pressure medications that relax blood vessels,Blood pressure medications that relax blood vessels,,2026-01-01 00:00:00
26,ACE Inhibitors,2,2,Blood pressure medications that block angiotensin conversion,Blood pressure medications that block angiotensin conversion,,2026-01-01 00:00:00
27,ARBs,2,2,Angiotensin receptor blockers for blood pressure,Angiotensin receptor blockers for blood pressure,,2026-01-01 00:00:00
28,Diuretics,2,2,Water pills that reduce blood pressure,Water pills that reduce blood pressure,,2026-01-01 00:00:00
