food_id,nutrient_id,amount_per_100g
1,10,122
1,1,1.3
1,2,31.9
1,3,2.3
1,4,0.4
1,29,499
1,28,4
1,26,37
1,25,9
1,30,0.6
1,11,15
1,12,18.5
1,31,37
3,10,116
3,1,1.2
3,2,27.2
3,3,2.2
3,4,0.3
3,29,490
3,28,3
3,26,28
3,25,8
3,30,0.5
3,11,20
3,12,9
3,31,35
4,10,96
4,1,2.4
4,2,20.9
4,3,1.5
4,4,0.5
4,29,70
4,28,2
4,26,48
4,25,4
4,30,0.7
4,11,5
4,12,0
4,31,22
5,10,130
5,1,2.7
5,2,28.2
5,3,0.4
5,4,0.3
5,29,35
5,28,1
5,26,43
5,25,10
5,30,0.2
5,11,0
5,12,0
5,31,12
6,10,112
6,1,2.6
6,2,23.5
6,3,1.8
6,4,0.9
6,29,86
6,28,5
6,26,83
6,25,10
6,30,0.5
6,11,0
6,12,0
6,31,43
7,10,112
7,1,0.6
7,2,26.9
7,3,1.4
7,4,0.2
7,29,191
7,28,12
7,26,19
7,25,12
7,30,0.3
7,11,1
7,12,15
7,31,18
8,10,76
8,1,1.4
8,2,17.7
8,3,2.5
8,4,0.1
8,29,230
8,28,27
8,26,32
8,25,27
8,30,0.7
8,11,709
8,12,12.8
8,31,18
9,10,87
9,1,1.9
9,2,20.1
9,3,1.8
9,4,0.1
9,29,328
9,28,5
9,26,40
9,25,8
9,30,0.3
9,11,0
9,12,7.4
9,31,20
10,10,119
10,1,3.5
10,2,23.7
10,3,1.3
10,4,1.0
10,29,108
10,28,3
10,26,100
10,25,8
10,30,0.6
10,11,0
10,12,0
10,31,44
11,10,123
11,1,3.4
11,2,25.6
11,3,2.0
11,4,1.3
11,29,127
11,28,2
11,26,99
11,25,13
11,30,1.5
11,11,0
11,12,0
11,31,48
12,10,119
12,1,3.6
12,2,23.4
12,3,2.3
12,4,1.5
12,29,132
12,28,5
12,26,115
12,25,150
12,30,2.3
12,11,0
12,12,0
12,31,52
13,10,127
13,1,8.7
13,2,22.8
13,3,6.4
13,4,0.5
13,29,405
13,28,2
13,26,142
13,25,35
13,30,2.1
13,11,0
13,12,1.2
13,31,45
14,10,132
14,1,8.9
14,2,23.7
14,3,8.7
14,4,0.5
14,29,355
14,28,2
14,26,140
14,25,27
14,30,2.1
14,11,0
14,12,0
14,31,60
15,10,116
15,1,7.7
15,2,20.8
15,3,6.5
15,4,0.5
15,29,278
15,28,3
15,26,156
15,25,24
15,30,2.5
15,11,1
15,12,0.7
15,31,53
16,10,105
16,1,7.0
16,2,19.2
16,3,7.6
16,4,0.4
16,29,266
16,28,2
16,26,99
16,25,27
16,30,1.4
16,11,2
16,12,1.0
16,31,48
17,10,121
17,1,6.8
17,2,21.7
17,3,7.0
17,4,0.6
17,29,384
17,28,4
17,26,127
17,25,43
17,30,1.8
17,11,1
17,12,0
17,31,46
18,10,567
18,1,25.8
18,2,16.1
18,3,8.5
18,4,49.2
18,29,705
18,28,18
18,26,376
18,25,92
18,30,4.6
18,11,0
18,12,0
18,31,168
19,10,573
19,1,17.7
19,2,23.4
19,3,11.8
19,4,49.7
19,29,468
19,28,11
19,26,629
19,25,975
19,30,14.6
19,11,9
19,12,0
19,31,351
20,10,584
20,1,20.8
20,2,20.0
20,3,8.6
20,4,51.5
20,29,645
20,28,9
20,26,660
20,25,78
20,30,5.2
20,11,50
20,12,1.4
20,31,325
21,10,559
21,1,30.2
21,2,10.7
21,3,6.0
21,4,49.1
21,29,809
21,28,7
21,26,1233
21,25,46
21,30,8.8
21,11,16
21,12,1.9
21,31,592
22,10,580
22,1,28.5
22,2,15.2
22,3,9.5
22,4,50.3
22,29,720
22,28,8
22,26,680
22,25,110
22,30,6.2
22,11,5
22,12,0
22,31,280
23,10,33
23,1,2.5
23,2,5.7
23,3,2.8
23,4,0.4
23,29,169
23,28,20
23,26,29
23,25,145
23,30,0.9
23,11,380
23,12,18.9
23,31,15
24,10,23
24,1,2.3
24,2,3.7
24,3,2.2
24,4,0.3
24,29,290
24,28,20
24,26,50
24,25,215
24,30,2.3
24,11,290
24,12,54
24,31,55
25,10,30
25,1,3.2
25,2,5.2
25,3,3.5
25,4,0.4
25,29,380
25,28,15
25,26,65
25,25,180
25,30,3.8
25,11,420
25,12,28
25,31,42
26,10,37
26,1,3.7
26,2,7.0
26,3,3.8
26,4,0.6
26,29,450
26,28,12
26,26,85
26,25,165
26,30,4.2
26,11,520
26,12,62
26,31,48
27,10,32
27,1,3.5
27,2,5.8
27,3,3.2
27,4,0.5
27,29,410
27,28,18
27,26,72
27,25,195
27,30,3.5
27,11,480
27,12,38
27,31,52
28,10,29
28,1,2.8
28,2,5.1
28,3,2.9
28,4,0.4
28,29,365
28,28,16
28,26,58
28,25,142
28,30,2.8
28,11,390
28,12,42
28,31,38
29,10,35
29,1,3.8
29,2,6.2
29,3,3.6
29,4,0.5
29,29,425
29,28,14
29,26,78
29,25,188
29,30,3.2
29,11,540
29,12,35
29,31,55
30,10,35
30,1,2.9
30,2,6.8
30,3,3.3
30,4,0.4
30,29,385
30,28,22
30,26,62
30,25,152
30,30,2.5
30,11,610
30,12,45
30,31,42
31,10,23
31,1,3.0
31,2,3.8
31,3,2.4
31,4,0.3
31,29,466
31,28,70
31,26,56
31,25,136
31,30,3.6
31,11,524
31,12,9.8
31,31,87
32,10,25
32,1,1.3
32,2,5.8
32,3,2.5
32,4,0.1
32,29,170
32,28,18
32,26,26
32,25,40
32,30,0.5
32,11,5
32,12,36.6
32,31,12
33,10,18
33,1,0.9
33,2,3.9
33,3,1.2
33,4,0.2
33,29,237
33,28,5
33,26,24
33,25,10
33,30,0.3
33,11,42
33,12,13.7
33,31,11
34,10,40
34,1,1.1
34,2,9.3
34,3,1.7
34,4,0.1
34,29,146
34,28,4
34,26,29
34,25,23
34,30,0.2
34,11,0
34,12,7.4
34,31,10
35,10,41
35,1,0.9
35,2,9.6
35,3,2.8
35,4,0.2
35,29,320
35,28,69
35,26,35
35,25,33
35,30,0.3
35,11,835
35,12,5.9
35,31,12
36,10,35
36,1,0.8
36,2,8.7
36,3,2.5
36,4,0.2
36,29,123
36,28,1
36,26,15
36,25,6
36,30,0.2
36,11,1
36,12,1.3
36,31,11
37,10,26
37,1,1.0
37,2,6.0
37,3,2.1
37,4,0.3
37,29,211
37,28,4
37,26,26
37,25,7
37,30,0.5
37,11,157
37,12,127.7
37,31,12
38,10,149
38,1,6.4
38,2,33.1
38,3,2.1
38,4,0.5
38,29,401
38,28,17
38,26,153
38,25,181
38,30,1.7
38,11,0
38,12,31.2
38,31,25
39,10,80
39,1,1.8
39,2,17.8
39,3,2.0
39,4,0.8
39,29,415
39,28,13
39,26,34
39,25,16
39,30,0.6
39,11,0
39,12,5.0
39,31,43
40,10,26
40,1,1.0
40,2,6.5
