id,food_id,cooking_method_id,protein_retention,carb_retention,fat_retention,fiber_retention,vitamin_c_retention,vitamin_b_retention,vitamin_a_retention,vitamin_e_retention,potassium_retention,sodium_retention,calcium_retention,iron_retention,weight_yield,volume_yield,cooking_time_minutes,notes,data_source
1,20,1,0.95,1.0,1.0,0.90,0.50,0.70,0.85,0.80,0.70,1.0,0.85,0.90,0.85,0.80,15,Sukuma Wiki boiled - significant vitamin C loss,USDA
2,20,2,1.0,1.0,1.0,0.95,0.85,0.90,0.95,0.95,0.95,1.0,0.95,0.98,0.95,0.95,10,Sukuma Wiki steamed - minimal nutrient loss,USDA
3,20,9,0.95,1.0,1.0,0.90,0.65,0.75,0.90,0.85,0.80,1.0,0.88,0.92,0.90,0.85,30,Sukuma Wiki stewed - moderate loss,USDA
4,21,1,0.95,1.0,1.0,0.90,0.48,0.68,0.88,0.82,0.68,1.0,0.83,0.88,0.83,0.78,15,Amaranth boiled - similar to Sukuma Wiki,USDA
5,21,2,1.0,1.0,1.0,0.95,0.87,0.92,0.96,0.96,0.96,1.0,0.96,0.99,0.96,0.96,10,Amaranth steamed - excellent retention,USDA
6,22,1,0.95,1.0,1.0,0.90,0.45,0.65,0.85,0.80,0.65,1.0,0.80,0.85,0.80,0.75,15,Managu boiled,USDA
7,22,2,1.0,1.0,1.0,0.95,0.85,0.90,0.95,0.95,0.95,1.0,0.95,0.98,0.95,0.95,10,Managu steamed,USDA
8,23,1,0.93,1.0,1.0,0.88,0.42,0.63,0.83,0.78,0.63,1.0,0.78,0.83,0.78,0.73,20,Cassava leaves boiled - longer cook time,USDA
9,23,2,0.98,1.0,1.0,0.94,0.82,0.88,0.94,0.94,0.94,1.0,0.94,0.97,0.94,0.94,12,Cassava leaves steamed,USDA
10,28,1,0.95,1.0,1.0,0.90,0.52,0.72,0.87,0.83,0.72,1.0,0.87,0.92,0.87,0.82,12,Spinach boiled,USDA
11,28,2,1.0,1.0,1.0,0.95,0.88,0.93,0.96,0.96,0.96,1.0,0.96,0.99,0.96,0.96,8,Spinach steamed,USDA
12,29,1,0.95,1.0,1.0,0.92,0.58,0.78,0.90,0.88,0.78,1.0,0.90,0.95,0.90,0.85,15,Cabbage boiled,USDA
13,29,2,0.98,1.0,1.0,0.96,0.90,0.95,0.97,0.97,0.97,1.0,0.97,0.99,0.97,0.96,10,Cabbage steamed,USDA
14,1,1,0.98,1.0,1.0,0.95,0.75,0.85,0.90,0.90,0.85,1.0,0.92,0.95,0.90,0.85,30,Matoke boiled - common preparation,Local research
15,1,2,1.0,1.0,1.0,0.98,0.88,0.95,0.96,0.96,0.95,1.0,0.97,0.99,0.95,0.93,25,Matoke steamed,Local research
16,1,6,0.98,1.0,1.0,0.96,0.82,0.90,0.93,0.93,0.90,1.0,0.94,0.97,0.88,0.82,45,Matoke roasted,Local research
17,3,1,0.98,1.0,1.0,0.95,0.0,0.85,0.0,0.90,0.82,1.0,0.95,0.97,0.90,0.85,20,White rice boiled (no vitamin C),USDA
18,3,2,1.0,1.0,1.0,0.98,0.0,0.92,0.0,0.96,0.95,1.0,0.98,0.99,0.95,0.93,18,White rice steamed,USDA
19,3,8,0.98,1.0,1.0,0.96,0.0,0.88,0.0,0.93,0.88,1.0,0.96,0.98,0.92,0.88,12,White rice pressure cooked,USDA
20,4,1,0.98,1.0,1.0,0.95,0.0,0.82,0.0,0.88,0.80,1.0,0.93,0.95,0.88,0.83,35,Brown rice boiled (longer cook time),USDA
21,4,2,1.0,1.0,1.0,0.98,0.0,0.90,0.0,0.95,0.93,1.0,0.97,0.99,0.93,0.90,30,Brown rice steamed,USDA
22,4,8,0.98,1.0,1.0,0.96,0.0,0.85,0.0,0.92,0.85,1.0,0.95,0.97,0.90,0.85,18,Brown rice pressure cooked,USDA
23,5,1,0.95,1.0,1.0,0.92,0.65,0.80,0.85,0.85,0.75,1.0,0.88,0.93,0.85,0.80,25,Cassava boiled,USDA
24,5,2,0.98,1.0,1.0,0.96,0.82,0.92,0.93,0.93,0.92,1.0,0.95,0.98,0.92,0.88,20,Cassava steamed,USDA
25,5,6,0.96,1.0,1.0,0.94,0.75,0.88,0.90,0.90,0.85,1.0,0.92,0.96,0.82,0.75,50,Cassava roasted,USDA
26,6,1,0.95,1.0,1.0,0.92,0.70,0.82,0.90,0.88,0.78,1.0,0.90,0.94,0.88,0.83,30,Sweet potato boiled,USDA
27,6,2,0.98,1.0,1.0,0.96,0.85,0.93,0.96,0.95,0.93,1.0,0.96,0.99,0.94,0.90,25,Sweet potato steamed,USDA
28,6,6,0.96,1.0,1.0,0.94,0.78,0.88,0.92,0.92,0.88,1.0,0.93,0.97,0.85,0.78,45,Sweet potato roasted,USDA
29,6,3,0.94,1.0,2.5,0.88,0.60,0.75,0.82,0.85,0.70,1.2,0.85,0.90,0.75,0.68,15,Sweet potato deep fried (fat increased),USDA
30,7,1,0.96,1.0,1.0,0.93,0.72,0.83,0.88,0.88,0.80,1.0,0.91,0.95,0.90,0.85,25,Irish potato boiled,USDA
31,7,2,0.98,1.0,1.0,0.96,0.86,0.93,0.94,0.94,0.93,1.0,0.96,0.99,0.95,0.92,20,Irish potato steamed,USDA
32,7,6,0.96,1.0,1.0,0.94,0.80,0.90,0.91,0.91,0.88,1.0,0.93,0.97,0.87,0.80,40,Irish potato roasted,USDA
33,7,3,0.93,1.0,2.8,0.87,0.55,0.72,0.78,0.82,0.65,1.3,0.82,0.88,0.70,0.62,12,Irish potato deep fried (French fries),USDA
34,7,4,0.95,1.0,1.8,0.90,0.68,0.80,0.85,0.87,0.75,1.15,0.88,0.93,0.82,0.75,10,Irish potato shallow fried,USDA
35,11,1,0.96,1.0,1.0,0.94,0.20,0.85,0.0,0.90,0.82,1.0,0.92,0.96,0.90,0.85,60,Red beans boiled (long cook time),USDA
36,11,8,0.97,1.0,1.0,0.96,0.35,0.90,0.0,0.94,0.90,1.0,0.96,0.98,0.93,0.88,35,Red beans pressure cooked,USDA
37,11,9,0.95,1.0,1.0,0.93,0.25,0.83,0.0,0.88,0.80,1.0,0.90,0.94,0.92,0.87,90,Red beans stewed,USDA
