food_id,nutrient_id,amount_per_100g,data_quality,data_source
1,1,1.3,measured,FAO INFOODS
1,2,31.2,measured,FAO INFOODS
1,3,2.6,measured,FAO INFOODS
1,10,122,calculated,FAO INFOODS
1,29,499,measured,FAO INFOODS
1,27,37,measured,FAO INFOODS
1,12,18.4,measured,HarvestPlus
2,1,6.5,measured,Uganda NEMA
2,2,79.0,measured,Uganda NEMA
2,3,3.0,measured,Uganda NEMA
2,10,365,calculated,Uganda NEMA
2,30,2.5,measured,Uganda NEMA
2,18,4.8,measured,Uganda NEMA
3,1,7.1,measured,USDA FoodData Central
3,2,79.9,measured,USDA FoodData Central
3,3,1.3,measured,USDA FoodData Central
3,10,365,calculated,USDA FoodData Central
3,30,0.8,measured,USDA FoodData Central
3,27,25,measured,USDA FoodData Central
4,1,7.9,measured,USDA FoodData Central
4,2,77.2,measured,USDA FoodData Central
4,3,3.5,measured,USDA FoodData Central
4,10,370,calculated,USDA FoodData Central
4,30,1.5,measured,USDA FoodData Central
4,27,43,measured,USDA FoodData Central
4,31,2.2,measured,USDA FoodData Central
5,1,1.4,measured,FAO INFOODS
5,2,38.1,measured,FAO INFOODS
5,3,1.8,measured,FAO INFOODS
5,10,160,calculated,FAO INFOODS
5,29,558,measured,FAO INFOODS
5,12,20.6,measured,FAO INFOODS
6,1,1.6,measured,HarvestPlus
6,2,27.0,measured,HarvestPlus
6,3,3.3,measured,HarvestPlus
6,10,112,calculated,HarvestPlus
6,11,14187,measured,HarvestPlus
6,12,19.6,measured,HarvestPlus
6,29,475,measured,HarvestPlus
7,1,2.0,measured,USDA FoodData Central
7,2,20.1,measured,USDA FoodData Central
7,3,1.8,measured,USDA FoodData Central
7,10,87,calculated,USDA FoodData Central
7,29,379,measured,USDA FoodData Central
7,12,13.0,measured,USDA FoodData Central
8,1,10.6,measured,Uganda NEMA
8,2,72.5,measured,Uganda NEMA
8,3,5.4,measured,Uganda NEMA
8,10,378,calculated,Uganda NEMA
8,30,4.3,measured,Uganda NEMA
8,27,27,measured,Uganda NEMA
9,1,10.4,measured,Uganda NEMA
9,2,73.2,measured,Uganda NEMA
9,3,4.8,measured,Uganda NEMA
9,10,370,calculated,Uganda NEMA
9,30,4.4,measured,Uganda NEMA
9,27,25,measured,Uganda NEMA
10,1,11.0,measured,FAO INFOODS
10,2,75.0,measured,FAO INFOODS
10,3,6.7,measured,FAO INFOODS
10,10,390,calculated,FAO INFOODS
10,30,3.9,measured,FAO INFOODS
10,25,168,measured,FAO INFOODS
11,1,8.7,measured,FAO INFOODS
11,2,62.4,measured,FAO INFOODS
11,3,7.8,measured,FAO INFOODS
11,10,337,calculated,FAO INFOODS
11,30,6.9,measured,FAO INFOODS
11,20,394,measured,FAO INFOODS
11,31,4.0,measured,FAO INFOODS
12,1,8.9,measured,USDA FoodData Central
12,2,63.0,measured,USDA FoodData Central
12,3,8.7,measured,USDA FoodData Central
12,10,341,calculated,USDA FoodData Central
12,30,7.5,measured,USDA FoodData Central
12,20,444,measured,USDA FoodData Central
13,1,9.3,measured,FAO INFOODS
13,2,60.0,measured,FAO INFOODS
13,3,10.7,measured,FAO INFOODS
13,10,343,calculated,FAO INFOODS
13,30,8.3,measured,FAO INFOODS
13,20,405,measured,FAO INFOODS
14,1,23.9,measured,FAO INFOODS
14,2,62.6,measured,FAO INFOODS
14,3,4.5,measured,FAO INFOODS
14,10,347,calculated,FAO INFOODS
14,30,6.7,measured,FAO INFOODS
14,20,410,measured,FAO INFOODS
15,1,21.7,measured,FAO INFOODS
15,2,62.8,measured,FAO INFOODS
15,3,15.0,measured,FAO INFOODS
15,10,343,calculated,FAO INFOODS
15,30,5.2,measured,FAO INFOODS
15,25,130,measured,FAO INFOODS
16,1,25.8,measured,Uganda NEMA
16,2,16.1,measured,Uganda NEMA
16,4,49.2,measured,Uganda NEMA
16,10,567,calculated,Uganda NEMA
16,30,4.6,measured,Uganda NEMA
16,27,92,measured,Uganda NEMA
