food_id,food_name,serving_grams,glycemic_index,available_carb_g,glycemic_load,gl_category
1,Matoke (Cooking Banana),150,70,46.8,32.8,high
2,Maize Meal (Posho),150,85,118.5,100.7,high
3,White Rice,150,73,119.9,87.5,high
4,Brown Rice,150,68,115.8,78.7,high
5,Cassava (Boiled),150,46,57.2,26.3,high
6,Sweet Potato (Orange),150,63,40.5,25.5,high
7,Irish Potato (Boiled),150,78,30.2,23.6,high
8,Millet Porridge,200,71,145.0,103.0,high
9,Sorghum,150,70,109.8,76.9,high
10,Finger Millet (Wimbi),150,75,112.5,84.4,high
11,Red Beans (Boiled),150,24,93.6,22.5,high
12,Black Beans,150,30,94.5,28.4,high
13,Cowpeas (Black-eyed Peas),150,42,90.0,37.8,high
14,Green Gram (Mung Beans),150,25,93.9,23.5,high
15,Pigeon Peas,150,22,94.2,20.7,high
16,Groundnuts (Peanuts),30,14,4.8,0.7,low
17,Sesame Seeds,15,35,3.5,1.2,low
18,Sunflower Seeds,15,35,3.0,1.1,low
19,Pumpkin Seeds,15,25,1.6,0.4,low
20,Sukuma Wiki (Collard Greens),100,15,8.3,1.2,low
21,Amaranth Leaves (Dodo),100,15,6.5,1.0,low
22,African Nightshade (Managu),100,15,5.7,0.9,low
23,Cassava Leaves,100,15,10.5,1.6,low
24,Spider Plant (Saget),100,15,8.8,1.3,low
25,Pumpkin Leaves,100,15,8.0,1.2,low
26,Jute Leaves (Murere),100,15,6.9,1.0,low
27,Sweet Potato Leaves,100,15,7.0,1.1,low
28,Spinach,100,15,6.4,1.0,low
29,Cabbage,100,15,5.8,0.9,low
30,Tomatoes,100,38,3.6,1.4,low
31,Onions,100,10,8.6,0.9,low
32,Carrots,100,39,8.6,3.4,low
33,Eggplant (African),100,15,5.9,0.9,low
34,Okra,100,20,5.7,1.1,low
35,Pumpkin,100,75,7.5,5.6,low
36,Cucumber,100,15,3.5,0.5,low
37,Bell Pepper (Green),100,15,3.6,0.5,low
41,Banana (Ripe),120,51,43.2,22.0,high
42,Mango,165,51,21.8,11.1,medium
43,Papaya (Pawpaw),140,60,15.1,9.1,low
44,Pineapple,150,66,19.7,13.0,medium
45,Watermelon,150,72,11.4,8.2,low
46,Avocado,100,15,8.5,1.3,low
47,Passion Fruit,50,30,1.6,0.5,low
48,Guava,100,33,14.3,4.7,low
49,Oranges,130,43,15.3,6.6,low
50,Lemons,50,20,1.3,0.3,low
51,Jack Fruit,150,75,41.6,31.2,high
61,Milk (Cow - Whole),250,NULL,11.8,NULL,NULL
62,Milk (Cow - Skimmed),250,NULL,12.5,NULL,NULL
63,Yogurt (Plain),150,NULL,7.1,NULL,NULL
64,Fermented Milk (Mala),200,NULL,7.2,NULL,NULL
70,Coconut (Fresh),40,45,6.1,2.7,low
72,Sugar (White),10,65,10.0,6.5,low
73,Honey,20,58,16.5,9.6,low
84,African Yam,150,54,56.7,30.6,high
85,Cocoyam (Taro),150,48,41.9,20.1,high
