food_id,nutrient_id,amount_per_100g
103,31,51
104,31,53
105,31,25
106,31,27
107,31,29
108,31,31
109,31,33
110,31,35
111,31,37
112,31,39
113,31,39
114,31,42
115,31,45
116,31,48
117,31,51
118,31,54
119,31,57
120,31,30
121,31,33
122,31,36
123,31,39
124,31,42
125,31,45
126,31,47
127,31,49
128,31,51
129,31,53
130,31,55
131,31,57
132,31,35
133,31,37
134,31,39
135,31,41
136,31,43
137,31,45
138,31,47
139,31,49
140,31,51
141,31,58
142,31,61
143,31,64
144,31,67
145,31,70
146,31,73
147,31,76
148,31,79
149,31,82
150,31,40
151,31,43
152,31,46
153,31,49
154,31,52
155,31,55
156,31,40
157,31,42
158,31,44
159,31,46
160,31,28
161,31,30
162,31,32
163,31,34
164,31,36
165,31,38
166,31,40
167,31,42
168,31,44
169,31,46
170,31,28
171,31,30
172,31,32
173,31,32
174,31,34
175,31,36
176,31,38
177,31,40
178,31,42
179,31,44
180,31,22
181,31,35
182,31,38
183,31,41
184,31,44
185,31,47
186,31,50
187,31,53
188,31,56
189,31,59
190,31,32
191,31,35
192,31,38
193,31,41
194,31,44
195,31,47
196,31,46
197,31,48
198,31,50
199,31,52
200,31,38
201,31,40
202,31,42
203,31,44
204,31,46
205,31,48
206,31,50
207,31,52
208,31,38
209,31,40
210,31,42
211,31,44
212,31,28
213,31,30
214,31,32
215,31,34
216,31,36
217,31,38
218,31,40
219,31,42
220,31,24
221,31,26
222,31,28
223,31,30
224,31,32
225,31,34
226,31,56
227,31,58
228,31,36
229,31,38
230,31,40
231,31,42
232,31,44
233,31,46
234,31,48
235,31,50
236,31,52
237,31,54
238,31,56
239,31,58
240,31,36
241,31,38
242,31,40
243,31,42
244,31,44
245,31,46
246,31,63
247,31,66
248,31,45
249,31,48
250,31,51
251,31,54
252,31,57
253,31,60
254,31,63
255,31,66
256,31,45
257,31,48
258,31,51
259,31,28
260,31,20
261,31,22
262,31,30
263,31,32
264,31,34
265,31,36
266,31,38
267,31,40
268,31,42
269,31,44
270,31,26
271,31,28
272,31,30
273,31,32
274,31,34
275,31,36
276,31,34
277,31,36
278,31,38
279,31,40
280,31,42
281,31,44
282,31,46
283,31,48
284,31,50
285,31,52
286,31,54
287,31,56
288,31,34
289,31,36
290,31,38
291,31,36
292,31,38
293,31,40
294,31,42
295,31,44
296,31,30
297,31,32
298,31,34
299,31,36
300,31,38
301,31,40
302,31,42
