id,generic_name,brand_name,category,description,requires_prescription,price,created_at
1,Metformin,Glucophage,,Biguanides - Metformin Hydrochloride,TRUE,,2026-01-01 00:00:00
2,Glibenclamide,Daonil,,Sulfonylureas - Glibenclamide,TRUE,,2026-01-01 00:00:00
3,Gliclazide,Diamicron,,Sulfonylureas - Gliclazide,TRUE,,2026-01-01 00:00:00
4,Insulin Regular,Actrapid,,Short-acting Insulin - Insulin Human,TRUE,,2026-01-01 00:00:00
5,Insulin NPH,Insulatard,,Intermediate-acting Insulin - Insulin Human NPH,TRUE,,2026-01-01 00:00:00
6,Insulin Glargine,Lantus,,Long-acting Insulin - Insulin Glargine,TRUE,,2026-01-01 00:00:00
7,Amlodipine,Norvasc,,Calcium Channel Blockers - Amlodipine Besylate,TRUE,,2026-01-01 00:00:00
8,Nifedipine,Adalat,,Calcium Channel Blockers - Nifedipine,TRUE,,2026-01-01 00:00:00
9,Lisinopril,Zestril,,ACE Inhibitors - Lisinopril,TRUE,,2026-01-01 00:00:00
10,Enalapril,Vasotec,,ACE Inhibitors - Enalapril Maleate,TRUE,,2026-01-01 00:00:00
11,Losartan,Cozaar,,ARBs (Angiotensin II Receptor Blockers) - Losartan Potassium,TRUE,,2026-01-01 00:00:00
12,Valsartan,Diovan,,ARBs - Valsartan,TRUE,,2026-01-01 00:00:00
13,Hydrochlorothiazide,Microzide,,Thiazide Diuretics - Hydrochlorothiazide,TRUE,,2026-01-01 00:00:00
14,Furosemide,Lasix,,Loop Diuretics - Furosemide,TRUE,,2026-01-01 00:00:00
15,Spironolactone,Aldactone,,Potassium-Sparing Diuretics - Spironolactone,TRUE,,2026-01-01 00:00:00
16,Atenolol,Tenormin,,Beta Blockers - Atenolol,TRUE,,2026-01-01 00:00:00
17,Bisoprolol,Concor,,Beta Blockers - Bisoprolol Fumarate,TRUE,,2026-01-01 00:00:00
18,Carvedilol,Coreg,,Alpha and Beta Blockers - Carvedilol,TRUE,,2026-01-01 00:00:00
19,Atorvastatin,Lipitor,,Statins - Atorvastatin Calcium,TRUE,,2026-01-01 00:00:00
20,Simvastatin,Zocor,,Statins - Simvastatin,TRUE,,2026-01-01 00:00:00
21,Aspirin,Disprin,,Antiplatelet - Acetylsalicylic Acid,FALSE,,2026-01-01 00:00:00
22,Clopidogrel,Plavix,,Antiplatelet - Clopidogrel Bisulfate,TRUE,,2026-01-01 00:00:00
23,Warfarin,Coumadin,,Anticoagulants - Warfarin Sodium,TRUE,,2026-01-01 00:00:00
24,Amoxicillin,Amoxil,,Penicillins - Amoxicillin Trihydrate,TRUE,,2026-01-01 00:00:00
25,Amoxicillin-Clavulanate,Augmentin,,Penicillins + Beta-lactamase Inhibitors - Amoxicillin + Clavulanic Acid,TRUE,,2026-01-01 00:00:00
26,Ciprofloxacin,Cipro,,Fluoroquinolones - Ciprofloxacin Hydrochloride,TRUE,,2026-01-01 00:00:00
27,Metronidazole,Flagyl,,Nitroimidazoles - Metronidazole,TRUE,,2026-01-01 00:00:00
28,Ceftriaxone,Rocephin,,Cephalosporins - Ceftriaxone Sodium,TRUE,,2026-01-01 00:00:00
29,Azithromycin,Zithromax,,Macrolides - Azithromycin,TRUE,,2026-01-01 00:00:00
30,Doxycycline,Vibramycin,,Tetracyclines - Doxycycline Hyclate,TRUE,,2026-01-01 00:00:00
31,Artemether-Lumefantrine,Coartem,,Antimalarials - Artemether + Lumefantrine,FALSE,,2026-01-01 00:00:00
