food_id,nutrient_id,amount_per_100g
103,10,130
103,1,2.5
103,2,27
103,3,1.2
103,4,1.5
103,29,110
103,28,350
103,26,45
103,25,15
103,30,0.8
103,11,85
103,12,8
104,10,180
104,1,8.5
104,2,12
104,3,3.5
104,4,12
104,29,380
104,28,420
104,26,140
104,25,85
104,30,2.8
104,11,450
104,12,18
105,10,160
105,1,1.4
105,2,38
105,3,1.8
105,4,0.3
105,29,270
105,28,10
105,26,25
105,25,18
105,30,0.6
105,11,2
105,12,20
106,10,122
106,1,1.2
106,2,30
106,3,2.2
106,4,0.4
106,29,500
106,28,5
106,26,35
106,25,8
106,30,0.7
106,11,1200
106,12,18
107,10,118
107,1,1.5
107,2,28
107,3,4.0
107,4,0.2
107,29,816
107,28,9
107,26,55
107,25,17
107,30,0.5
107,11,7
107,12,17
108,10,140
108,1,8.2
108,2,16
108,3,5.5
108,4,4.5
108,29,420
108,28,180
108,26,110
108,25,45
108,30,2.3
108,11,15
108,12,2
109,10,280
109,1,25
109,2,8
109,3,1.5
109,4,18
109,29,320
109,28,650
109,26,180
109,25,15
109,30,3.2
109,11,5
109,12,0
110,10,45
110,1,8.5
110,2,2.5
110,3,0.8
110,4,1.2
110,29,180
110,28,850
110,26,95
110,25,25
110,30,1.5
110,11,85
110,12,12
111,10,357
111,1,1.5
111,2,88
111,3,2.0
111,4,0.5
111,29,180
111,28,5
111,26,40
111,25,20
111,30,1.5
111,11,0
111,12,35
112,10,118
112,1,1.5
112,2,28
112,3,4.0
112,4,0.2
112,29,816
112,28,9
112,26,55
112,25,17
112,30,0.5
112,11,7
112,12,17
113,10,188
113,1,7.5
113,2,16
113,3,4.8
113,4,10
113,29,380
113,28,180
113,26,95
113,25,40
113,30,2.1
113,11,8
113,12,1
114,10,85
114,1,4.2
114,2,8.5
114,3,3.2
114,4,4.5
114,29,420
114,28,280
114,26,65
114,25,110
114,30,2.8
114,11,680
114,12,32
115,10,42
115,1,3.5
115,2,5.2
115,3,2.8
115,4,0.8
115,29,320
115,28,15
115,26,48
115,25,85
115,30,2.4
115,11,420
115,12,28
116,10,130
116,1,4.5
116,2,24
116,3,5.2
116,4,1.8
116,29,290
116,28,12
116,26,90
116,25,35
116,30,2.2
116,11,5
116,12,2
117,10,112
117,1,2.1
117,2,24
117,3,1.5
117,4,0.8
117,29,85
117,28,350
117,26,42
117,25,18
117,30,0.9
117,11,2
117,12,4
118,10,110
118,1,2.2
118,2,23
118,3,1.8
118,4,0.9
118,29,95
118,28,320
118,26,45
118,25,22
118,30,1.0
118,11,3
118,12,5
119,10,145
119,1,6.8
119,2,20
119,3,6.5
119,4,4.2
119,29,410
119,28,220
119,26,105
119,25,48
119,30,2.5
119,11,950
119,12,15
120,10,195
120,1,9.5
120,2,12
120,3,3.8
120,4,13
120,29,350
120,28,380
120,26,125
120,25,65
120,30,2.1
120,11,25
120,12,8
121,10,148
121,1,1.2
121,2,28
121,3,2.8
121,4,5.2
121,29,465
121,28,2
121,26,32
121,25,8
121,30,0.6
121,11,1050
121,12,16
122,10,425
122,1,8.5
122,2,65
122,3,2.2
122,4,15
122,29,140
122,28,180
122,26,85
122,25,35
122,30,2.8
122,11,15
122,12,0
123,10,332
123,1,5.8
123,2,50
123,3,1.8
123,4,15
123,29,125
123,28,220
123,26,75
123,25,42
123,30,1.5
123,11,8
123,12,0
124,10,140
124,1,3.2
124,2,28
124,3,1.5
124,4,2.5
124,29,95
124,28,180
124,26,48
124,25,22
124,30,0.9
124,11,5
124,12,0
125,10,548
125,1,25
125,2,18
125,3,8.5
125,4,45
125,29,705
125,28,420
125,26,376
125,25,92
125,30,4.6
125,11,0
125,12,0
126,10,188
126,1,7.5
126,2,16
126,3,4.8
126,4,10
126,29,380
126,28,180
126,26,95
126,25,40
126,30,2.1
126,11,8
126,12,1
127,10,145
127,1,2.8
127,2,32
127,3,0.8
127,4,0.5
127,29,55
127,28,5
127,26,38
127,25,12
127,30,0.4
127,11,0
127,12,0
128,10,55
128,1,4.5
128,2,8.2
128,3,5.8
128,4,1.2
128,29,380
128,28,280
128,26,95
128,25,125
128,30,3.8
128,11,185
128,12,45
129,10,128
129,1,8.5
129,2,18
129,3,4.2
129,4,2.8
129,29,420
129,28,320
129,26,118
129,25,58
129,30,2.5
129,11,12
129,12,2
130,10,138
130,1,7.2
130,2,20
130,3,6.8
130,4,2.5
130,29,450
130,28,380
130,26,110
130,25,52
130,30,2.4
130,11,8
130,12,1
131,10,115
131,1,2.8
131,2,24
131,3,3.5
131,4,1.2
131,29,118
131,28,8
131,26,65
131,25,22
131,30,0.9
131,11,0
131,12,0
132,10,125
132,1,6.5
132,2,8.5
132,3,3.2
132,4,8.2
132,29,280
132,28,580
132,26,85
132,25,45
132,30,2.1
132,11,420
132,12,65
133,10,48
133,1,3.8
133,2,5.5
133,3,3.5
133,4,1.5
133,29,385
133,28,18
133,26,52
133,25,95
133,30,2.8
133,11,520
133,12,38
134,10,45
134,1,3.5
134,2,5.2
134,3,3.8
134,4,1.2
134,29,395
134,28,15
134,26,48
134,25,88
134,30,2.9
134,11,485
134,12,35
135,10,38
135,1,3.2
135,2,4.8
135,3,3.2
135,4,0.9
135,29,365
135,28,12
135,26,45
135,25,82
135,30,2.7
135,11,425
135,12,28
136,10,165
136,1,8.8
136,2,11
136,3,4.5
136,4,10
136,29,320
136,28,320
136,26,125
136,25,65
136,30,2.2
136,11,35
136,12,5
137,10,142
137,1,18
137,2,2.5
137,3,0.5
137,4,6.5
137,29,185
137,28,580
137,26,125
137,25,28
137,30,2.8
137,11,5
137,12,0
138,10,245
138,1,2.8
138,2,55
138,3,4.5
138,4,2.5
138,29,195
138,28,420
138,26,48
138,25,35
138,30,1.2
138,11,8
138,12,25
139,10,148
139,1,3.8
139,2,32
139,3,5.2
139,4,0.8
139,29,420
139,28,5
139,26,88
139,25,42
139,30,1.8
139,11,5
139,12,12
140,10,120
140,1,1.1
140,2,29
140,3,2.5
140,4,0.4
140,29,490
140,28,2
140,26,28
140,25,6
140,30,0.6
140,11,1050
140,12,15
141,10,148
141,1,1.2
141,2,28
141,3,2.8
141,4,5.2
141,29,465
141,28,2
141,26,32
141,25,8
141,30,0.6
141,11,1050
141,12,16
142,10,185
142,1,16
142,2,12
142,3,2.2
142,4,8.5
142,29,285
142,28,420
142,26,142
142,25,18
142,30,2.5
142,11,950
142,12,12
143,10,116
143,1,1.8
143,2,26
143,3,3.8
143,4,0.9
143,29,738
143,28,8
143,26,52
143,25,18
143,30,0.6
143,11,6
143,12,16
144,10,125
144,1,7.8
144,2,18
144,3,5.5
144,4,1.8
144,29,385
144,28,12
144,26,95
144,25,48
144,30,2.2
144,11,5
144,12,1
145,10,118
145,1,6.5
145,2,18
145,3,5.8
145,4,1.5
145,29,395
145,28,8
145,26,98
145,25,45
145,30,2.1
145,11,5
145,12,1
146,10,58
146,1,2.8
146,2,8.5
146,3,2.5
146,4,2.5
146,29,285
146,28,420
146,26,45
146,25,35
146,30,1.5
146,11,520
146,12,85
147,10,165
147,1,3.5
147,2,32
147,3,1.8
147,4,3.2
147,29,125
147,28,480
147,26,55
147,25,28
147,30,1.2
147,11,185
147,12,12
148,10,185
148,1,3.2
