id,name,local_name,scientific_name,category_id,state,description,glycemic_index,gi_classification,yield_factor,preparation_method,verified,region
103,Jollof Rice,Jollof,,1,cooked,West African one-pot rice dish with tomatoes and spices,70,high,0.95,Stewed rice with tomato base,TRUE,West Africa
104,Egusi Soup,Egusi,,6,cooked,Nigerian melon seed soup with vegetables and meat,35,low,1.00,Thick soup made from ground melon seeds,TRUE,West Africa
105,Fufu (Cassava),Fufu,,1,cooked,West African staple made from pounded cassava,85,high,0.90,Boiled and pounded cassava,TRUE,West Africa
106,Fufu (Plantain),Fufu,,1,cooked,West African staple made from pounded plantain,75,high,0.88,Boiled and pounded plantain,TRUE,West Africa
107,Fufu (Yam),Fufu,,1,cooked,West African staple made from pounded yam,80,high,0.90,Boiled and pounded yam,TRUE,West Africa
108,Moin Moin,Moi Moi,,2,cooked,Nigerian steamed bean pudding,45,low,0.95,Steamed black-eyed pea pudding,TRUE,West Africa
109,Suya,Suya,,3,cooked,West African spicy grilled meat skewers,0,low,0.80,Grilled beef with peanut spice mix,TRUE,West Africa
110,Pepper Soup,Pepper Soup,,6,cooked,Spicy West African broth with meat or fish,30,low,1.00,Spicy broth with pepper and spices,TRUE,West Africa
111,Garri,Gari,,1,processed,Fermented cassava granules,75,high,1.00,Dried fermented cassava,TRUE,West Africa
112,Pounded Yam,Iyan,,1,cooked,Smooth starchy staple from pounded yam,80,high,0.90,Boiled and pounded yam,TRUE,West Africa
113,Akara,Akara,,2,cooked,Deep-fried bean cakes,55,medium,0.85,Deep-fried black-eyed pea fritters,TRUE,West Africa
114,Efo Riro,Efo Riro,,4,cooked,Nigerian spinach stew,35,low,0.95,Spinach stew with palm oil and meat,TRUE,West Africa
115,Ewedu Soup,Ewedu,,6,cooked,Yoruba jute leaf soup,30,low,1.00,Blended jute leaves in broth,TRUE,West Africa
116,Waakye,Waakye,,1,cooked,Ghanaian rice and beans cooked with millet leaves,55,medium,0.95,Rice and beans with sorghum leaves,TRUE,West Africa
117,Banku,Banku,,1,cooked,Fermented corn and cassava dough,70,high,0.92,Fermented maize and cassava ball,TRUE,West Africa
118,Kenkey,Kenkey,,1,cooked,Fermented corn dough wrapped in plantain leaves,68,medium,0.90,Fermented maize wrapped and steamed,TRUE,West Africa
119,Red Red,Red Red,,2,cooked,Ghanaian black-eyed pea stew with plantains,50,low,1.00,Black-eyed peas in palm oil with plantains,TRUE,West Africa
